0.59,0.46,9.40
0.57,0.42,9.27
0.66,0.31,9.24
0.68,0.33,9.38
0.62,0.43,9.43
0.69,0.40,9.35
0.59,0.34,9.17
0.65,0.40,9.22
0.62,0.27,9.41
0.61,0.39,9.43
0.63,0.39,9.29
0.66,0.39,9.30
0.68,0.39,9.35
0.59,0.36,9.40
0.59,0.43,9.46
0.62,0.40,9.48
0.65,0.38,9.38
0.62,0.40,9.29
0.66,0.40,9.38
0.54,0.37,9.40
0.55,0.27,9.31
0.66,0.43,9.32
0.69,0.47,9.41
0.54,0.42,9.47
0.60,0.35,9.41
0.60,0.43,9.35
0.66,0.40,9.26
0.63,0.38,9.40
0.57,0.29,9.49
0.61,0.49,9.42
0.64,0.45,9.40
0.60,0.29,9.25
0.62,0.31,9.33
0.64,0.39,9.42
0.63,0.35,9.40
0.68,0.35,9.17
0.57,0.44,9.37
0.71,0.49,9.35
0.61,0.37,9.40
0.62,0.28,9.24
0.61,0.35,9.32
0.62,0.42,9.38
0.68,0.45,9.28
0.63,0.37,9.35
0.64,0.35,9.50
0.68,0.44,9.36
0.63,0.42,9.36
0.62,0.33,9.41
0.66,0.39,9.26
0.61,0.39,9.40
0.65,0.38,9.42
0.62,0.35,9.33
0.62,0.43,9.36
0.62,0.42,9.32
0.62,0.40,9.54
0.59,0.40,9.40
0.67,0.31,9.21
0.61,0.38,9.34
0.64,0.43,9.38
0.61,0.39,9.45
0.62,0.34,9.47
0.62,0.40,9.17
0.67,0.40,9.48
0.68,0.35,9.41
0.65,0.32,9.24
0.65,0.39,9.31
0.64,0.41,9.38
0.60,0.35,9.41
0.61,0.40,9.34
0.61,0.43,9.26
0.65,0.35,9.35
0.61,0.30,9.43
0.61,0.38,9.26
0.68,0.37,9.29
0.63,0.40,9.28
0.66,0.38,9.45
0.74,0.40,9.36
0.59,0.40,9.38
0.59,0.37,9.29
0.65,0.38,9.37
0.57,0.38,9.42
0.57,0.40,9.27
0.61,0.32,9.48
0.61,0.41,9.26
0.62,0.34,9.37
0.67,0.36,9.32
0.69,0.34,9.42
0.61,0.35,9.27
0.65,0.39,9.34
0.61,0.31,9.29
0.63,0.36,9.44
0.59,0.39,9.37
0.59,0.40,9.38
0.60,0.35,9.35
0.65,0.37,9.28
0.64,0.38,9.35
0.62,0.36,9.48
0.64,0.35,9.27
0.60,0.33,9.19
0.59,0.33,9.31
0.66,0.33,9.41
0.66,0.51,9.51
0.64,0.37,9.21
0.61,0.31,9.34
0.61,0.37,9.27
0.68,0.41,9.42
0.64,0.37,9.34
0.57,0.31,9.47
0.70,0.51,9.32
0.66,0.44,9.24
0.67,0.35,9.26
0.60,0.36,9.36
0.67,0.39,9.41
0.67,0.49,9.29
0.70,0.46,9.46
0.61,0.39,9.49
0.66,0.35,9.38
0.64,0.39,9.34
0.64,0.36,9.20
0.69,0.41,9.40
0.69,0.35,9.33
0.68,0.37,9.39
0.67,0.34,9.36
0.63,0.37,9.28
0.66,0.35,9.30
0.61,0.44,9.39
0.59,0.40,9.42
0.64,0.34,9.35
0.71,0.41,9.20
0.67,0.44,9.33
0.65,0.43,9.40
0.61,0.35,9.43
0.68,0.37,9.12
0.68,0.28,9.28
0.66,0.36,9.27
